0,1,0
1,2,10
2,3,20
3,4,30
4,5,40
5,6,50
6,7,60
7,8,70
8,9,80
9,10,90
0,11,100
1,12,110
2,13,120
3,14,130
4,15,140
5,16,150
6,17,160
7,18,170
8,19,180
9,20,190
0,21,200
1,22,210
2,23,220
3,24,230
4,25,240
5,26,250
6,27,260
7,28,270
8,29,280
9,30,290
0,31,300
1,32,310
2,33,320
3,34,330
4,35,340
5,36,350
6,37,360
7,38,370
8,39,380
9,40,390
0,41,400
1,42,410
2,43,420
3,44,430
4,45,440
5,46,450
6,47,460
7,48,470
8,49,480
9,50,490
0,51,500
1,52,510
2,53,520
3,54,530
4,55,540
5,56,550
6,57,560
7,58,570
8,59,580
9,60,590
0,61,600
1,62,610
2,63,620
3,64,630
4,65,640
5,66,650
6,67,660
7,68,670
8,69,680
9,70,690
0,71,700
1,72,710
2,73,720
3,74,730
4,75,740
5,76,750
6,77,760
7,78,770
8,79,780
9,80,790
0,81,800
1,82,810
2,83,820
3,84,830
4,85,840
5,86,850
6,87,860
7,88,870
8,89,880
9,90,890
0,91,900
1,92,910
2,93,920
3,94,930
4,95,940
5,96,950
6,97,960
7,98,970
8,99,980
9,100,990
0,101,1000
1,102,1010
2,103,1020
3,104,1030
4,105,1040
5,106,1050
6,107,1060
7,108,1070
8,109,1080
9,110,1090
0,111,1100
1,112,1110
2,113,1120
3,114,1130
4,115,1140
5,116,1150
6,117,1160
7,118,1170
8,119,1180
9,120,1190
0,121,1200
1,122,1210
2,123,1220
3,124,1230
4,125,1240
5,126,1250
6,127,1260
7,128,1270
8,129,1280
9,130,1290
0,131,1300
1,132,1310
2,133,1320
3,134,1330
4,135,1340
5,136,1350
6,137,1360
7,138,1370
8,139,1380
9,140,1390
0,141,1400
1,142,1410
2,143,1420
3,144,1430
4,145,1440
5,146,1450
6,147,1460
7,148,1470
8,149,1480
9,150,1490
0,151,1500
1,152,1510
2,153,1520
3,154,1530
4,155,1540
5,156,1550
6,157,1560
7,158,1570
8,159,1580
9,160,1590
0,161,1600
1,162,1610
2,163,1620
3,164,1630
4,165,1640
5,166,1650
6,167,1660
7,168,1670
8,169,1680
9,170,1690
0,171,1700
1,172,1710
2,173,1720
3,174,1730
4,175,1740
5,176,1750
6,177,1760
7,178,1770
8,179,1780
9,180,1790
0,181,1800
1,182,1810
2,183,1820
3,184,1830
4,185,1840
5,186,1850
6,187,1860
7,188,1870
8,189,1880
9,190,1890
0,191,1900
1,192,1910
2,193,1920
3,194,1930
4,195,1940
5,196,1950
6,197,1960
7,198,1970
8,199,1980
