ysb$user_id:INTEGER,ysb$page_id:INTEGER,ysb$campaign_id:INTEGER,ysb$ad_type:INTEGER,ysb$event_type:INTEGER,ysb$current_ms:INTEGER,ysb$ip:INTEGER,ysb$d1:INTEGER,ysb$d2:INTEGER,ysb$d3:INTEGER,ysb$d4:INTEGER,,,
1,0,7281,0,1,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093563E+018,,3.241984
1,0,2305,0,2,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093565E+018,,3.264
1,0,925,0,0,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093567E+018,,3.286528
1,0,7084,0,1,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093569E+018,,3.3088
1,0,6327,0,2,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093572E+018,,3.331328
1,0,336,0,0,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093574E+018,,3.353088
1,0,6505,0,1,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093576E+018,,3.375616
1,0,846,0,2,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093578E+018,,3.397888
1,0,1729,0,0,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093581E+018,,3.420416
1,0,1313,0,1,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093583E+018,,3.442688
1,0,5857,0,2,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093585E+018,,3.465216
1,0,6124,0,0,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093587E+018,,3.487488
1,0,3895,0,1,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093589E+018,,3.510016
1,0,9582,0,2,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093592E+018,,3.532032
1,0,545,0,0,1.61342230093238E+018,16909060,0,0,0,0,1.61342230093594E+018,,3.554816
1,0,8814,0,1,1.61342230093239E+018,16909060,0,0,0,0,1.61342230093596E+018,,3.576832
1,0,3367,0,2,1.61342230093239E+018,16909060,0,0,0,0,1.61342230093598E+018,,3.59936
1,0,5434,0,0,1.61342230093239E+018,16909060,0,0,0,0,1.61342230093601E+018,,3.621376
1,0,364,0,1,1.61342230093239E+018,16909060,0,0,0,0,1.61342230093603E+018,,3.643392
1,0,4043,0,2,1.61342230093239E+018,16909060,0,0,0,0,1.61342230093605E+018,,3.66592
1,0,5011,0,1,1.61342230093819E+018,16909060,0,0,0,0,1.61342230094127E+018,,3.08096
